,book_title, rating,price,stock,book_link,img_link
0,A Light in the Attic,Three,£51.77,"

    
        In stock
    
",https://books.toscrape.com/catalogue/a-light-in-the-attic_1000/index.html,https://books.toscrape.com/j
1,Tipping the Velvet,One,£53.74,"

    
        In stock
    
",https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,https://books.toscrape.com/j
2,Soumission,One,£50.10,"

    
        In stock
    
",https://books.toscrape.com/catalogue/soumission_998/index.html,https://books.toscrape.com/j
3,Sharp Objects,Four,£47.82,"

    
        In stock
    
",https://books.toscrape.com/catalogue/sharp-objects_997/index.html,https://books.toscrape.com/j
4,Sapiens: A Brief History of Humankind,Five,£54.23,"

    
        In stock
    
",https://books.toscrape.com/catalogue/sapiens-a-brief-history-of-humankind_996/index.html,https://books.toscrape.com/j
5,The Requiem Red,One,£22.65,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-requiem-red_995/index.html,https://books.toscrape.com/j
6,The Dirty Little Secrets of Getting Your Dream Job,Four,£33.34,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-dirty-little-secrets-of-getting-your-dream-job_994/index.html,https://books.toscrape.com/j
7,"The Coming Woman: A Novel Based on the Life of the Infamous Feminist, Victoria Woodhull",Three,£17.93,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-coming-woman-a-novel-based-on-the-life-of-the-infamous-feminist-victoria-woodhull_993/index.html,https://books.toscrape.com/j
8,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,Four,£22.60,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-boys-in-the-boat-nine-americans-and-their-epic-quest-for-gold-at-the-1936-berlin-olympics_992/index.html,https://books.toscrape.com/j
9,The Black Maria,One,£52.15,"

    
        In stock
    
",https://books.toscrape.com/catalogue/the-black-maria_991/index.html,https://books.toscrape.com/j
10,"Starving Hearts (Triangular Trade Trilogy, #1)",Two,£13.99,"

    
        In stock
    
",https://books.toscrape.com/catalogue/starving-hearts-triangular-trade-trilogy-1_990/index.html,https://books.toscrape.com/j
11,Shakespeare's Sonnets,Four,£20.66,"

    
        In stock
    
",https://books.toscrape.com/catalogue/shakespeares-sonnets_989/index.html,https://books.toscrape.com/j
12,Set Me Free,Five,£17.46,"

    
        In stock
    
",https://books.toscrape.com/catalogue/set-me-free_988/index.html,https://books.toscrape.com/j
13,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Five,£52.29,"

    
        In stock
    
",https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,https://books.toscrape.com/j
14,Rip it Up and Start Again,Five,£35.02,"

    
        In stock
    
",https://books.toscrape.com/catalogue/rip-it-up-and-start-again_986/index.html,https://books.toscrape.com/j
15,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",Three,£57.25,"

    
        In stock
    
",https://books.toscrape.com/catalogue/our-band-could-be-your-life-scenes-from-the-american-indie-underground-1981-1991_985/index.html,https://books.toscrape.com/j
16,Olio,One,£23.88,"

    
        In stock
    
",https://books.toscrape.com/catalogue/olio_984/index.html,https://books.toscrape.com/j
17,Mesaerion: The Best Science Fiction Stories 1800-1849,One,£37.59,"

    
        In stock
    
",https://books.toscrape.com/catalogue/mesaerion-the-best-science-fiction-stories-1800-1849_983/index.html,https://books.toscrape.com/j
18,Libertarianism for Beginners,Two,£51.33,"

    
        In stock
    
",https://books.toscrape.com/catalogue/libertarianism-for-beginners_982/index.html,https://books.toscrape.com/j
19,It's Only the Himalayas,Two,£45.17,"

    
        In stock
    
",https://books.toscrape.com/catalogue/its-only-the-himalayas_981/index.html,https://books.toscrape.com/j
20,In Her Wake,One,£12.84,"

    
        In stock
    
",https://books.toscrape.com/catalogue/in-her-wake_980/index.html,https://books.toscrape.com/j
